o_orderkey,o_custkey,o_orderpriority,o_comment
19460,196,2-HIGH, slyly regular requests.
19461,1495,3-MEDIUM, permanently among the permanently ironic foxes. even courts
19462,346,3-MEDIUM,. carefully bold requests wake quickly. quick accounts
19463,1144,5-LOW,even deposits haggle fluffily regular deposits. blithel
19488,511,1-URGENT,"its. blithely final requests are ironic instructions. unusual, even deposits "
19489,646,4-NOT SPECIFIED,inder fluffily past the evenly ironic foxes. furiously even instructions along
19490,89,1-URGENT,ongside of the blit
19491,367,3-MEDIUM,arefully according to
19492,1165,2-HIGH,uests are. packages wake carefully: quickly special packages slee
19493,1087,1-URGENT,eposits haggle always furiously final packages.
19494,262,2-HIGH,"even deposits boost. unusual, bold packa"
19495,1321,3-MEDIUM, run carefully around the slyly i
19520,245,5-LOW, of the slyly close foxes. fluffily final acco
19521,509,4-NOT SPECIFIED,ect furiously. enticing 
19522,1309,3-MEDIUM,ts about the quickly ironic requests wake carefully along t
19523,725,2-HIGH,sleep slyly above the furiously ironic theodolites. final pint
19524,1267,1-URGENT,lithely beneath the fu
19525,1237,3-MEDIUM,ully. ruthlessly regular instructions cajole sl
19526,1003,5-LOW,are blithely. ideas sleep slyly express requests. re
19527,158,3-MEDIUM,ng the carefully regular ideas cajole blithely across the furiously un
19552,1018,5-LOW,posits boost finally: accounts nag doggedly across
19553,1000,2-HIGH,"ts wake fluffily against the ironic, unusual instructions. bold, "
19554,857,1-URGENT,"pendencies? ironic, pending requests across the bravely ironic foxes wake furi"
19555,943,5-LOW,integrate fluffily evenly 
19556,260,4-NOT SPECIFIED,. ironic foxes sleep
19557,622,5-LOW,capades sleep slyly regular deposits. blithely bold foxes cajole among the spe
19558,1225,5-LOW,nic accounts cajole slyly. furiously even accounts boost b
19559,551,2-HIGH,warthogs. daring instr
19584,1387,1-URGENT,the carefully regular excuses sleep fluffily final sheav
19585,1291,4-NOT SPECIFIED,furiously unusual asymptotes. 
19586,481,4-NOT SPECIFIED,ructions eat never. furi
19587,1264,5-LOW,sts against the courts cajo
19588,643,2-HIGH,ding requests use furiously fluffi
19589,980,3-MEDIUM,n packages affix ac
19590,346,4-NOT SPECIFIED,"y regular packages. unusual, bold accounts b"
19591,1276,1-URGENT, regular ideas. carefull
19616,214,2-HIGH,fter the requests. quiet asymptotes about the
19617,62,5-LOW,g the furiously ironic escapades. quickly quiet fo
19618,1432,1-URGENT,le furiously above the theodolites.
19619,964,1-URGENT,ments impress. carefully final foxes doubt fluff
19620,743,3-MEDIUM,"al accounts mold slyly. regular, fi"
19621,1318,1-URGENT,ag blithely. fluffily special deposits against the eve
19622,593,4-NOT SPECIFIED,yly furiously ironic packages. regular requests use final sheaves
19623,214,1-URGENT,"ending notornis nag blithely. ironic, even ideas haggle fluf"
19648,1486,1-URGENT,"structions. final, bold pinto beans nag final accounts. fluffy, eve"
19649,514,2-HIGH,efully regular requ
19650,569,2-HIGH,about the slyly regular platelets hag
19651,701,5-LOW,lyly ironic packages haggle slyly at the ironic theodolites. slyly ironic fr
19652,409,1-URGENT,slyly regular courts. silent multi
19653,724,4-NOT SPECIFIED,c theodolites cajole about the bold accounts. carefully bold sentiments caj
19654,734,2-HIGH,nts. tithes sleep accordin
19655,370,2-HIGH,hely regular deposits. blithely ironic de
19680,559,4-NOT SPECIFIED,se furiously ironic accounts. 
19681,973,4-NOT SPECIFIED,r excuses. regular requests boost ironically. quickly 
19682,386,1-URGENT,ts. pinto beans around the carefully r
19683,371,3-MEDIUM,"bt furiously special deposits. bold, regular asymptot"
19684,404,4-NOT SPECIFIED,final deposits haggle furiously slyly silent dependencies. frets a
19685,962,2-HIGH,"gular accounts cajole regularly among the express, "
19686,968,3-MEDIUM,cial instructions sleep quickly blithely silent sheaves. slyly unusual re
19687,965,3-MEDIUM,ackages affix across
19712,430,4-NOT SPECIFIED,nooze quickly slyly
19713,1058,3-MEDIUM,rts; fluffily special pint
19714,1477,1-URGENT,de of the deposits breach carefully final epitaphs. quickl
19715,1046,1-URGENT,-ray among the accounts. blithely even gifts thrash against the carefu
19716,1232,5-LOW,ress dolphins use after the ironic pl
19717,1075,5-LOW,carefully special platelets. carefully ironic depths
19718,1174,5-LOW,tainments according to t
19719,1294,5-LOW,bove the quickly fin
19744,1045,3-MEDIUM,cajole after the slyly final dino
19745,382,2-HIGH," careful, bold excuses among the blith"
19746,125,3-MEDIUM,ole furiously according to the slyly pending theodolites. carefully ironic 
19747,818,3-MEDIUM,ole quickly across the furiously ironic ideas
19748,137,4-NOT SPECIFIED,"bold, express ideas sleep b"
19749,484,2-HIGH,s cajole slyly even escapades. furiously ironic packages haggle slyly. bli
19750,238,3-MEDIUM, wake ironic packages. blithely unusual instruction
19751,448,5-LOW,"nag. idle, regular packages about the deposits "
19776,22,1-URGENT,"dolites. blithely unusual epitaphs hang. unusual, silent foxes are slyly acr"
19777,1262,4-NOT SPECIFIED,lar instructions. quickly ironic packages cajole carefully among 
19778,184,1-URGENT, beans. carefully pendin
19779,416,2-HIGH,ding ideas. ironic deposits sl
19780,1073,2-HIGH,e the slyly regular requests. slyly
19781,1148,1-URGENT,e of the fluffily fluffy accounts. quickly
19782,145,5-LOW,s print blithely against t
19783,1259,4-NOT SPECIFIED,tes cajole blithely requests. blithely unusual dependencies sleep
19808,325,1-URGENT,ording to the final packa
19809,1213,2-HIGH,ly final requests. d
19810,154,5-LOW,ing to the fluffily regular packages nag furiou
19811,1300,5-LOW, regular instructions cajole sly
19812,619,5-LOW,cies thrash slyly toward the slyly pending
19813,979,1-URGENT, special pinto beans use. quickly express reque
19814,199,3-MEDIUM, theodolites about the slyly final requests are blithely unusual pl
19815,640,4-NOT SPECIFIED,nts nag blithely even ideas. fluffily regular theodolites 
19840,1369,1-URGENT, haggle quickly furiously regular accounts. express theodolites around the sl
19841,7,5-LOW, packages haggle busily even pinto beans! braids haggle busily
19842,772,4-NOT SPECIFIED,s. slyly regular accounts are quickly furiously final instructions? 
19843,703,3-MEDIUM,ges kindle carefully. unusual accoun
19844,1325,5-LOW,osits engage quickly.
19845,1001,3-MEDIUM,"final ideas wake between the pending, regular accounts. bold deposits nag bli"
19846,241,5-LOW,e quickly thin forges can a
19847,1492,2-HIGH,"ns about the final, final instructions kindle "
19872,1426,5-LOW,mptotes. packages breach slyly across the pending foxes. instruc
19873,1045,4-NOT SPECIFIED,heodolites haggle carefully against the slyly final ideas! blithe
19874,866,2-HIGH,ly ironic instructions haggle slo
19875,583,2-HIGH,uriously final accounts cajole slyly. fluffily even epitaphs cajole aga
19876,613,1-URGENT,"olites. silent, ironic theodolites detect some"
19877,1001,5-LOW,as haggle fluffily brav
19878,278,4-NOT SPECIFIED,g dolphins. slyly special ideas cajole acc
19879,1415,1-URGENT, ideas. carefully even somas 
19904,599,3-MEDIUM,riously special deposits use closely. bold instructi
19905,343,1-URGENT,the final notornis. carefully final foxes sleep 
19906,158,2-HIGH,"x slyly across the ironic, even"
19907,800,3-MEDIUM,bold instructions cajole slyly furiously ironic pa
19908,895,1-URGENT,t forges are slyly about the regular packages. platele
19909,322,2-HIGH, special pinto beans. slyly i
19910,338,1-URGENT,ress theodolites thrash. f
19911,1471,2-HIGH, furiously fluffy requests. ruthless pearls haggle bra
19936,802,1-URGENT, asymptotes above the regularly
19937,1129,4-NOT SPECIFIED,ix! blithely unusual packages nag carefully. slyly ev
19938,329,2-HIGH,luffily. even packages try to snooze quickly against the slyly
19939,226,3-MEDIUM,hould cajole slyly dependencies. boldly 
19940,1244,5-LOW,ecial attainments affix along the quickly even requests. dep
19941,1054,4-NOT SPECIFIED,le across the carefully pending deposits. silent packages are. dogged de
19942,503,2-HIGH,ly. regular deposits are quickly furiously special platelets. furiously 
19943,40,1-URGENT,nusual requests nag hockey players. deposits boost doggedly i
19968,136,4-NOT SPECIFIED,ideas cajole carefully. braids integrate carefully regular pl
19969,1022,3-MEDIUM,even pinto beans integrate furiously ironically 
19970,1469,2-HIGH,o beans believe furiously. carefully even requests sleep furiously aft
19971,109,4-NOT SPECIFIED,"furiously unusual, final theodolites. final requ"
19972,65,1-URGENT,r epitaphs. pending instructions cajol
19973,163,5-LOW,pecial pinto beans wake evenly since the carefully even pinto bean
19974,989,2-HIGH,ies sleep regularly ideas. ideas sleep. furiously 
19975,1255,4-NOT SPECIFIED,e quickly according to 
20000,925,2-HIGH,gular dependencies after the
20001,631,3-MEDIUM,eans haggle. fluffily final deposits above the special acco
20002,484,3-MEDIUM,"e accounts. daring, express foxes sleep furiously quiet"
20003,1162,3-MEDIUM,d packages doubt furiously. theodolites are slyly closely regular 
20004,341,1-URGENT,ix blithely along the slyly final excuses. fluffily bold dependencies c
20005,470,1-URGENT,ep blithely along the re
20006,1073,4-NOT SPECIFIED,"kly final deposits! regular requests about the express, regular p"
20007,1399,4-NOT SPECIFIED,nto beans wake. carefully express packages according t
20032,656,3-MEDIUM,"kly above the enticing, ironic excuses: final w"
20033,40,1-URGENT,ial instructions boost fur
20034,530,1-URGENT,tructions integrate alongsid
20035,1432,1-URGENT,"ve along the instructions! permanent, even accou"
20036,308,4-NOT SPECIFIED,cial packages. carefully iro
20037,916,5-LOW,reach blithely carefully ironic deposits. dolphins thrash slyly ideas. blithe
20038,1141,5-LOW,ously regular accou
20039,1081,2-HIGH,ously express dolphins. carefully bold pinto beans are always. 
20064,1300,5-LOW,e unusual courts. careful
20065,436,2-HIGH,ins. carefully express asymptotes believe among the quickly i
20066,685,1-URGENT, sleep. always even theodolites cajole alon
20067,385,1-URGENT, even pinto beans are furiously according to the carefully unu
20068,241,1-URGENT,s. final platelets cajole according to the special packages.
20069,635,1-URGENT,". slyly final packages detect furiously about the regular, express package"
20070,1021,4-NOT SPECIFIED,luffily unusual forges wake carefully fluffily even ideas. regular
20071,490,3-MEDIUM,he final pinto bean
20096,1363,5-LOW,the furiously ruthless d
20097,1318,1-URGENT,rmanently regular pinto beans above the slyly enticing attainments breach furi
20098,817,3-MEDIUM,press instructions. final deposits sleep according to the unusual
20099,202,2-HIGH,xes. pinto beans eat against the slyly final instruc
20100,887,1-URGENT,nal pinto beans hinder carefully regular reque
20101,925,5-LOW,odolites affix slyly above the blithely blithe pac
20102,622,2-HIGH,usly final instructions. slyly pending pinto beans should have to solve care
20103,844,3-MEDIUM," slyly unusual foxes boost furiously about the final, ironi"
20128,427,4-NOT SPECIFIED,. bold accounts above the unusual requests nag ideas. slyly
20129,944,3-MEDIUM,eep quickly. blithely express dinos nag blithely. fluf
20130,379,3-MEDIUM,e escapades. ironic requests grow about the furiously even pinto beans.
20131,1465,1-URGENT,g asymptotes thrash carefully fluffil
20132,877,5-LOW,"ial pinto beans. special, express pinto beans"
20133,1448,5-LOW,special accounts cajole furiously quick pinto beans. fl
20134,160,5-LOW, according to the final asymptotes. carefully silent de
20135,1372,1-URGENT,s. quickly unusual platelets cajole slyly according to t
20160,1376,5-LOW,"ing, final requests. deposits boost furiously. regular, special excuses"
20161,436,4-NOT SPECIFIED,n pinto beans. package
20162,598,3-MEDIUM," final, final asymptotes integrate blithely. special, express platelets hagg"
20163,931,5-LOW, platelets along the slyly final hockey players boost furiously after the 
20164,430,5-LOW,e packages across the ideas nag carefully according
20165,961,4-NOT SPECIFIED,structions! carefully bold pi
20166,409,5-LOW,r packages along th
20167,1090,5-LOW,equests cajole carefully along the f
20192,1159,5-LOW,fully bold dependencies dazzle above the slyly unusual foxes: excuses detec
20193,229,3-MEDIUM,olites. slyly unusual requests wak
20194,1237,2-HIGH,ingly special accounts haggle slyly desp
20195,10,1-URGENT,gular accounts. slyly bold
20196,1078,4-NOT SPECIFIED,nic requests eat furiously across the blithely regular accounts. furiou
20197,968,4-NOT SPECIFIED,final instructions. carefully final 
20198,956,4-NOT SPECIFIED,the express accounts engage quickly furiously special realm
20199,293,1-URGENT,lar foxes alongside of the quickly even dolphi
20224,1408,3-MEDIUM, courts. slyly pending pinto beans hinder fluffily. blithely 
20225,599,5-LOW,ckages lose quickly regular foxes. platelets use among the bold instructi
20226,1223,1-URGENT,ven packages affix careful
20227,1153,3-MEDIUM,"hely ironic pearls. final, ev"
20228,850,2-HIGH,ar requests! blithely even foxes haggle carefully furiously sil
20229,1445,5-LOW,iously silent accounts nag evenly s
20230,28,2-HIGH, foxes: final requests above the pending f
20231,578,4-NOT SPECIFIED,es against the slyly final deposits sleep carefully against t
20256,490,5-LOW,e bold packages lose about the carefully pending theodolites. 
20257,2,4-NOT SPECIFIED,e quickly. foxes sleep fur
20258,184,3-MEDIUM,s cajole blithely across the
20259,764,1-URGENT, slyly special theodolites. carefully ex
20260,1411,2-HIGH,"ole special, final ex"
20261,1397,3-MEDIUM,sly. special ideas according to the platelets sleep furiously above
20262,1439,4-NOT SPECIFIED,deas. requests engage quickly. final packages sleep along the quietl
20263,250,3-MEDIUM,ions. blithely regular excuses sleep quickly. enticingly special instructions 
20288,1343,2-HIGH,c packages use alongs
20289,775,1-URGENT,pending dependencies. fina
20290,1375,2-HIGH,y final deposits breach enticingly bold dolphins. unusual ideas cajol
20291,748,2-HIGH,ickly according to the packages. bold requests lose furiously along 
20292,766,3-MEDIUM,"the bold, final accounts inte"
20293,668,2-HIGH,riously alongside of the furiously even courts. carefully even instru
20294,128,4-NOT SPECIFIED,"regular, even requests; express pinto beans use fluffily alongside of the blit"
20295,1436,4-NOT SPECIFIED," beans serve above the silent,"
20320,487,1-URGENT,lent deposits. furiously
20321,341,2-HIGH,s the slyly final foxes. packages nag furiously. carefully f
